"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"10.06.2022","3,7545","3,7515","3,7913","3,7466","-0,08%"
"09.06.2022","3,7575","3,7660","3,7662","3,7500","0,08%"
"08.06.2022","3,7546","3,7505","3,7738","3,7338","0,43%"
"07.06.2022","3,7387","3,7350","3,7655","3,7287","0,34%"
"06.06.2022","3,7262","3,7141","3,7435","3,7032","0,80%"
"03.06.2022","3,6968","3,7050","3,7164","3,6913","0,11%"
"02.06.2022","3,6926","3,7269","3,7285","3,6953","-0,88%"
"01.06.2022","3,7255","3,7150","3,7350","3,7080","0,42%"
"31.05.2022","3,7100","3,6771","3,7165","3,6771","0,95%"
"30.05.2022","3,6750","3,6700","3,6775","3,6650","0,11%"
"27.05.2022","3,6710","3,6588","3,6755","3,6559","0,40%"
"26.05.2022","3,6565","3,6880","3,6880","3,6445","-0,64%"
"25.05.2022","3,6800","3,7033","3,7100","3,6730","-0,44%"
"24.05.2022","3,6963","3,7162","3,7255","3,6895","-0,46%"
"23.05.2022","3,7133","3,7352","3,7352","3,7085","-0,39%"
"20.05.2022","3,7280","3,7350","3,7374","3,7215","-0,05%"
"19.05.2022","3,7300","3,7747","3,7754","3,7338","-1,13%"
"18.05.2022","3,7725","3,7650","3,7775","3,7608","0,31%"
"17.05.2022","3,7610","3,7798","3,7813","3,7535","-0,24%"
"16.05.2022","3,7700","3,7903","3,7913","3,7715","-0,15%"
"13.05.2022","3,7755","3,7650","3,7950","3,7600","0,41%"
"12.05.2022","3,7600","3,7875","3,8079","3,7650","-0,66%"
"11.05.2022","3,7850","3,7900","3,7952","3,7611","0,18%"
"10.05.2022","3,7783","3,8250","3,8250","3,7847","-1,09%"
"09.05.2022","3,8200","3,8150","3,8371","3,8114","0,36%"
"06.05.2022","3,8062","3,7891","3,8184","3,7875","0,45%"
"05.05.2022","3,7890","3,7705","3,7960","3,7641","0,77%"
"04.05.2022","3,7600","3,8210","3,8229","3,7650","-1,45%"
"03.05.2022","3,8153","3,8387","3,8393","3,8166","-0,44%"
"02.05.2022","3,8320","3,8361","3,8465","3,8335","-0,14%"
"29.04.2022","3,8375","3,8425","3,8425","3,8370","-0,07%"
"28.04.2022","3,8400","3,8265","3,8545","3,8258","0,37%"
"27.04.2022","3,8260","3,8249","3,8355","3,8211","0,08%"
"26.04.2022","3,8230","3,8049","3,8247","3,8029","0,53%"
"25.04.2022","3,8030","3,7673","3,8215","3,7666","1,03%"
"22.04.2022","3,7642","3,7364","3,7715","3,7344","0,77%"
"21.04.2022","3,7355","3,7124","3,7380","3,7122","0,58%"
"20.04.2022","3,7140","3,7096","3,7175","3,7010","0,19%"
"19.04.2022","3,7070","3,7353","3,7440","3,7060","-0,68%"
"18.04.2022","3,7323","3,7324","3,7410","3,7313","0,14%"
"15.04.2022","3,7270","3,7300","3,7300","3,7300","-0,04%"
"14.04.2022","3,7286","3,7326","3,7347","3,7322","-0,12%"
"13.04.2022","3,7330","3,7285","3,7435","3,7254","0,33%"
"12.04.2022","3,7208","3,7139","3,7283","3,7030","0,28%"
"11.04.2022","3,7103","3,7096","3,7185","3,7081","0,01%"
"08.04.2022","3,7100","3,7040","3,7220","3,6975","-0,03%"
"07.04.2022","3,7110","3,7201","3,7201","3,7140","0,51%"
"06.04.2022","3,6921","3,6988","3,7000","3,6960","-0,11%"
"05.04.2022","3,6960","3,6428","3,7030","3,6404","1,87%"
"04.04.2022","3,6280","3,6389","3,6416","3,6175","-0,25%"
"01.04.2022","3,6370","3,6789","3,6807","3,6405","-1,06%"
"31.03.2022","3,6760","3,7235","3,7235","3,6780","-1,29%"
"30.03.2022","3,7240","3,7245","3,7335","3,7240","0,03%"
"29.03.2022","3,7230","3,7295","3,7295","3,7170","-0,23%"
"28.03.2022","3,7315","3,7362","3,7375","3,7285","-0,09%"
"25.03.2022","3,7350","3,7359","3,7377","3,7245","0,00%"
"24.03.2022","3,7350","3,7663","3,7680","3,7335","-0,81%"
"23.03.2022","3,7655","3,7800","3,7800","3,7655","-0,28%"
"22.03.2022","3,7760","3,7857","3,7857","3,7640","-0,19%"
"21.03.2022","3,7830","3,7815","3,7960","3,7810","0,04%"
"18.03.2022","3,7815","3,7550","3,7817","3,7550","1,14%"
"17.03.2022","3,7390","3,7209","3,7410","3,7135","0,54%"
"16.03.2022","3,7190","3,7370","3,7380","3,7105","-0,40%"
"15.03.2022","3,7340","3,7325","3,7475","3,7220","0,43%"
"14.03.2022","3,7180","3,7029","3,7190","3,7020","0,41%"
"11.03.2022","3,7027","3,7110","3,7110","3,6990","-0,14%"
"10.03.2022","3,7080","3,7278","3,7325","3,7105","-0,51%"
"09.03.2022","3,7270","3,7395","3,7395","3,7127","-0,29%"
"08.03.2022","3,7380","3,7210","3,7410","3,7160","0,48%"
"07.03.2022","3,7200","3,7570","3,7625","3,7225","-0,83%"
"04.03.2022","3,7512","3,7292","3,7573","3,7280","0,62%"
"03.03.2022","3,7280","3,7492","3,7517","3,7290","-0,46%"
"02.03.2022","3,7453","3,7929","3,7951","3,7490","-0,82%"
"01.03.2022","3,7763","3,7865","3,7949","3,7780","0,09%"
"28.02.2022","3,7730","3,7973","3,8035","3,7758","-0,63%"
"25.02.2022","3,7970","3,7988","3,8010","3,7984","0,11%"
"24.02.2022","3,7930","3,7360","3,8059","3,7345","2,00%"
"23.02.2022","3,7185","3,7187","3,7392","3,7109","0,13%"
"22.02.2022","3,7136","3,7655","3,7694","3,7173","-0,93%"
"21.02.2022","3,7484","3,7425","3,7673","3,7364","0,73%"
"18.02.2022","3,7212","3,7320","3,7397","3,7013","0,16%"
"17.02.2022","3,7152","3,7464","3,7564","3,7201","-0,83%"
"16.02.2022","3,7464","3,7989","3,8008","3,7464","-1,20%"
"15.02.2022","3,7921","3,8018","3,8135","3,7917","0,14%"
"14.02.2022","3,7868","3,7736","3,8041","3,7645","1,16%"
"11.02.2022","3,7434","3,7423","3,7705","3,7264","0,48%"
"10.02.2022","3,7256","3,8040","3,8117","3,7328","-1,76%"
"09.02.2022","3,7924","3,8495","3,8512","3,7987","-0,81%"
"08.02.2022","3,8235","3,8478","3,8537","3,8300","-0,29%"
"07.02.2022","3,8346","3,8435","3,8598","3,8303","0,07%"
"04.02.2022","3,8318","3,8524","3,8784","3,8396","-0,37%"
"03.02.2022","3,8462","3,8605","3,8709","3,8519","-0,38%"
"02.02.2022","3,8609","3,8883","3,8916","3,8475","-0,63%"
"01.02.2022","3,8856","3,8384","3,8907","3,8384","1,27%"
"31.01.2022","3,8370","3,8507","3,8582","3,8340","-0,04%"
"28.01.2022","3,8385","3,8423","3,8579","3,8345","0,28%"
"27.01.2022","3,8276","3,8423","3,8521","3,8261","0,06%"
"26.01.2022","3,8253","3,8470","3,8568","3,8317","-0,25%"
"25.01.2022","3,8347","3,8490","3,8598","3,8403","-0,16%"
"24.01.2022","3,8407","3,8375","3,8580","3,8319","1,07%"
"21.01.2022","3,8001","3,8423","3,8446","3,8066","-0,67%"
"20.01.2022","3,8256","3,8705","3,8735","3,8305","-0,77%"
